iso,run_id,spec,arm,rep,attempt,status,cost_usd,wall_s,accepted,cli_version,model,exclusion_reason,notes
2026-08-28T00:43:39.807134+09:00,m_mixed_B_rep1,m_mixed,B,1,1,aborted,0,27.4,,2.1.247 (Claude Code),,,"NoModelCallError: モデル呼び出しが記録されなかった（cost=0, tokens=0）。利用上限・認証切れ・provider 枯渇の可能性がある"
2026-08-28T00:49:44.691671+09:00,m_mixed_B_rep1,m_mixed,B,1,1,aborted,0,48.9,,2.1.247 (Claude Code),,,"NoModelCallError: モデル呼び出しが記録されなかった（cost=0, tokens=0）。利用上限・認証切れ・provider 枯渇の可能性がある"
2026-08-28T01:06:21.357367+09:00,m_mixed_B_rep1,m_mixed,B,1,1,aborted,0,50.1,,2.1.247 (Claude Code),,,NoModelCallError: 部分実行: 1/4 タスクしかモデルを呼べなかった。観測として扱ってはならない
2026-08-28T01:10:31.450575+09:00,m_mixed_B_rep1,m_mixed,B,1,1,completed,0.773926,214.2,1,2.1.247 (Claude Code),,,........................                                                 [100%] 24 passed in 41.71s 
2026-08-28T01:20:35.198787+09:00,s17_m_mixed_B_rep1,s17_m_mixed,B,1,1,completed,0.8474822,603.6,1,2.1.247 (Claude Code),,,.............                                                            [100%] 13 passed in 21.98s 
2026-08-28T01:25:21.948013+09:00,ct_library_B_rep1,ct_library,B,1,1,completed,0.7452376000000001,285.6,1,2.1.247 (Claude Code),,,...................                                                      [100%] 19 passed in 6.61s 
2026-08-28T01:27:25.487550+09:00,n_db_chain_B_rep1,n_db_chain,B,1,1,completed,0.46386440000000007,122.4,1,2.1.247 (Claude Code),,,.......                                                                  [100%] 7 passed in 14.90s 
2026-08-28T01:29:04.435245+09:00,w_two_files_B_rep1,w_two_files,B,1,1,completed,0.3919764,97.9,1,2.1.247 (Claude Code),,,.................                                                        [100%] 17 passed in 0.10s 
2026-08-28T01:32:57.724436+09:00,s17_w_two_files_B_rep1,s17_w_two_files,B,1,1,completed,0.5507616000000001,232.5,1,2.1.247 (Claude Code),,,.........                                                                [100%] 9 passed in 18.86s 
2026-08-28T01:39:14.431736+09:00,s17_n_db_chain_B_rep1,s17_n_db_chain,B,1,1,completed,0.42617439999999995,365.7,1,2.1.247 (Claude Code),,,.......                                                                  [100%] 7 passed in 51.18s 
2026-08-28T01:44:48.975005+09:00,m_mixed_C_rep1,m_mixed,C,1,1,completed,0.801219,320.6,1,2.1.247 (Claude Code),,,........................                                                 [100%] 24 passed in 23.16s 
2026-08-28T01:51:21.528992+09:00,s17_m_mixed_C_rep1,s17_m_mixed,C,1,1,completed,0.7903044000000001,391.5,1,2.1.247 (Claude Code),,,.............                                                            [100%] 13 passed in 105.40s (0:01:45) 
